Date, SleepTime, WakeTime, Hours,decST,decWT
6/26/2020,3:40,9:31,5.85,3.67,9.52
6/25/2020,1:18,9:55,8.62,1.30,9.92
6/24/2020,8:01,9:00,0.97,8.02,9.00
6/24/2020,2:15,7:46,5.51,2.25,7.77
6/23/2020,1:42,9:30,7.8,1.70,9.50
6/22/2020,1:59,9:30,7.51,1.98,9.50
6/21/2020,2:04,8:38,6.55,2.07,8.63
6/20/2020,2:59,11:24,8.41,2.98,11.40
6/19/2020,2:27,9:50,7.38,2.45,9.83
6/18/2020,2:00,9:30,7.5,2.00,9.50
6/17/2020,1:40,9:30,7.82,1.67,9.50
6/16/2020,1:27,9:25,7.97,1.45,9.42
6/15/2020,0:45,9:06,8.34,0.75,9.10
6/14/2020,2:33,9:49,7.27,2.55,9.82
6/13/2020,1:24,9:32,8.13,1.40,9.53
6/12/2020,0:52,8:07,7.26,0.87,8.12
6/11/2020,1:31,9:56,8.41,1.52,9.93
6/10/2020,2:04,10:35,8.51,2.07,10.58
6/9/2020,3:08,9:44,6.59,3.13,9.73
6/8/2020,1:08,10:03,8.91,1.13,10.05
6/7/2020,1:50,9:36,7.75,1.83,9.60
6/6/2020,1:59,10:01,8.02,1.98,10.02
6/5/2020,1:30,10:40,9.17,1.50,10.67
6/4/2020,1:42,10:06,8.4,1.70,10.10
6/3/2020,3:01,9:36,6.58,3.02,9.60
6/2/2020,1:45,9:00,7.25,1.75,9.00
6/1/2020,2:29,8:42,6.21,2.48,8.70
5/31/2020,1:38,10:05,8.44,1.63,10.08
5/30/2020,2:55,9:57,7.02,2.92,9.95
5/29/2020,2:13,8:57,6.73,2.22,8.95
5/28/2020,0:39,8:30,7.84,0.65,8.50
5/27/2020,2:01,8:47,6.76,2.02,8.78
5/26/2020,1:03,9:54,8.85,1.05,9.90
5/25/2020,23:54,9:50,9.94,23.90,9.83
5/24/2020,0:46,9:19,8.54,0.77,9.32
5/23/2020,0:48,8:45,7.95,0.80,8.75
5/22/2020,1:59,10:11,8.21,1.98,10.18
5/21/2020,3:51,9:51,5.99,3.85,9.85
5/20/2020,3:17,9:48,6.5,3.28,9.80
5/19/2020,3:30,9:51,6.34,3.50,9.85
5/18/2020,0:53,10:37,9.73,0.88,10.62
5/17/2020,1:38,8:20,6.7,1.63,8.33
5/16/2020,2:07,9:00,6.89,2.12,9.00
5/15/2020,23:49,8:23,8.58,23.82,8.38
5/14/2020,0:36,7:42,7.1,0.60,7.70
5/13/2020,0:27,8:37,8.16,0.45,8.62
5/12/2020,1:46,8:06,6.32,1.77,8.10
5/11/2020,23:57,7:59,8.03,23.95,7.98
5/10/2020,1:21,7:46,6.42,1.35,7.77
5/9/2020,2:47,10:31,7.73,2.78,10.52
5/8/2020,1:21,10:03,8.69,1.35,10.05
5/7/2020,23:53,9:49,9.93,23.88,9.82
5/6/2020,4:07,8:40,4.54,4.12,8.67
5/5/2020,1:39,8:45,7.1,1.65,8.75
5/4/2020,1:50,7:45,5.91,1.83,7.75
5/3/2020,0:42,8:58,8.26,0.70,8.97
