Date       SleepTime  WakeTime   Hours      decST      decWT
   09/06/19      23:14       6:45       7.51      23.23       6.75
   09/05/19      23:38       8:45        9.1      23.63       8.75
   09/04/19      23:16       7:05       7.81      23.27       7.08
   09/03/19       1:28       7:52       6.39       1.47       7.87
   09/02/19       0:44       8:33       7.81       0.73       8.55
   09/01/19      23:56       8:19       8.38      23.93       8.32
   08/31/19       1:19       8:09       6.84       1.32       8.15
   08/30/19      23:25       6:45       7.32      23.42       6.75
   08/29/19      23:39       7:57        8.3      23.65       7.95
   08/28/19      23:21       6:55       7.55      23.35       6.92
   08/27/19      23:43       7:59       8.25      23.72       7.98
   08/26/19       0:37       8:36       7.99       0.62       8.60
   08/25/19       1:40      10:04        8.4       1.67      10.07
   08/24/19       3:34       9:32       5.96       3.57       9.53
   08/23/19      23:18       6:55       7.61      23.30       6.92
   08/22/19      23:33       6:55       7.35      23.55       6.92
   08/21/19      23:18       6:45       7.45      23.30       6.75
   08/20/19      23:28       7:10       7.69      23.47       7.17
   08/19/19      23:12       6:54       7.69      23.20       6.90
   08/18/19       2:16       9:42       7.42       2.27       9.70
   08/17/19       1:29       9:35        8.1       1.48       9.58
   08/16/19      22:50       6:48       7.97      22.83       6.80
   08/15/19       0:22       7:17       6.91       0.37       7.28
   08/14/19      23:16       6:55       7.64      23.27       6.92
   08/13/19       0:55       8:23       7.46       0.92       8.38
   08/12/19      23:28       6:45       7.28      23.47       6.75
   08/11/19      22:59       8:42        9.7      22.98       8.70
   08/10/19      22:42       7:53       9.18      22.70       7.88
   08/09/19       0:47       6:55       6.12       0.78       6.92
   08/08/19       0:18       8:22       8.06       0.30       8.37
   08/07/19      23:13       6:55       7.69      23.22       6.92
   08/06/19      23:51       6:47       6.93      23.85       6.78
   08/05/19      22:30       6:45       8.24      22.50       6.75
   08/04/19       3:42      10:13       6.51       3.70      10.22
   08/03/19       1:53       8:50       6.94       1.88       8.83
   08/02/19      22:52       6:55       8.04      22.87       6.92
   08/01/19      23:31       7:43        8.2      23.52       7.72
   07/31/19      23:04       5:28        6.4      23.07       5.47
   07/30/19      23:18       7:19       8.02      23.30       7.32
   07/29/19      23:21       6:55       7.55      23.35       6.92
   07/28/19       2:33       9:42       7.15       2.55       9.70
   07/27/19       2:55      10:36       7.69       2.92      10.60
   07/26/19      22:57       6:45       7.79      22.95       6.75
   07/25/19       0:28       7:23        6.9       0.47       7.38
   07/24/19      23:17       6:45       7.46      23.28       6.75
   07/23/19      23:49       8:10       8.35      23.82       8.17
   07/22/19      23:09       7:05       7.93      23.15       7.08
   07/21/19      23:47       8:58       9.18      23.78       8.97
   07/20/19       1:34       7:31       5.95       1.57       7.52
   07/19/19      22:59       6:45       7.75      22.98       6.75
   07/18/19      23:32       7:46       8.22      23.53       7.77
   07/17/19      22:55       6:45       7.82      22.92       6.75
   07/16/19       0:23       7:37       7.23       0.38       7.62
   07/15/19      23:09       6:45       7.59      23.15       6.75
   07/14/19       2:02       9:30       7.45       2.03       9.50
   07/13/19       1:36       9:20       7.73       1.60       9.33
   07/12/19      23:19       6:45       7.42      23.32       6.75
   07/11/19       0:01       7:32       7.51       0.02       7.53
   07/10/19      23:24       6:45       7.34      23.40       6.75
   07/09/19      23:31       8:35       9.06      23.52       8.58
   07/08/19      23:01       6:39       7.64      23.02       6.65
   07/07/19      22:54       7:49       8.92      22.90       7.82
   07/06/19      23:11       7:00        7.8      23.18       7.00
   07/05/19      23:00       6:45       7.74      23.00       6.75
   07/04/19      23:46       7:36       7.83      23.77       7.60
   07/03/19      22:28       6:40       8.19      22.47       6.67
   07/02/19      23:05       6:54       7.81      23.08       6.90
   07/01/19      23:00       6:39       7.63      23.00       6.65
   06/30/19      22:46       6:56       8.16      22.77       6.93
   06/29/19       1:20       7:29       6.15       1.33       7.48
   06/28/19      23:27       6:45       7.28      23.45       6.75
   06/27/19       0:59       8:35       7.59       0.98       8.58
   06/26/19      23:24       6:45       7.35      23.40       6.75
   06/25/19       0:08       7:40       7.54       0.13       7.67
